Image Filename,Generated Caption,Ground Truth Caption,Exact Match Accuracy
1000268201_693b08cb0e.jpg,a little girl in a pink dress,A little girl in a pink dress going into a wooden cabin .,0
1001773457_577c3a7d70.jpg,two dogs playing on the road,Two dogs on pavement moving toward each other .,0
1002674143_1b742ab4b8.jpg,a child sitting in the grass,Young girl with pigtails painting outside in the grass .,0
1003163366_44323f5815.jpg,a woman laying on a bench,man laying on bench holding leash of dog sitting on ground,0
1007129816_e794419615.jpg,man wearing a hat,The man with pierced ears is wearing glasses and an orange hat .,0
1007320043_627395c3d8.jpg,a young girl climbing on a rope,The small child climbs on a red ropes on a playground .,0
1009434119_febe49276a.jpg,a dog running in a field,A dog runs on the green grass near a wooden fence .,0
1012212859_01547e3f17.jpg,a dog playing with a ball,White dog with brown ears standing near water with head turned to one side .,0
1015118661_980735411b.jpg,a young boy is walking down the street,Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him .,0
1015584366_dfcec3c85a.jpg,a dog is sitting on a log in the grass,The black dog jumped the tree stump .,0
101654506_8eb26cfb60.jpg,a dog running in the snow,The white and brown dog is running over the surface of the snow .,0
101669240_b2d3e7f17b.jpg,a man on skis,Man on skis looking at artwork for sale in the snow,0
1016887272_03199f49c4.jpg,a large rock wall,Several climbers in a row are climbing the rock while the man in red watches and holds the line .,0
1019077836_6fc9b15408.jpg,a dog running through a hose in a yard,Large brown dog running away from the sprinkler in the grass .,0
1019604187_d087bf9a5f.jpg,a dog running in the grass,A white dog running after a yellow ball,0
1020651753_06077ec457.jpg,a dog catching a frur,The white dog is playing in a green field with a yellow toy .,0
1022454332_6af2c1449a.jpg,a body of water,"""Two people are at the edge of a lake , facing the water and the city skyline .""",0
1022454428_b6b660a67b.jpg,a woman sitting on the grass,Couple with a baby sit outdoors next to their stroller .,0
1022975728_75515238d8.jpg,the water is wavy,This is a black dog splashing in the water .,0
102351840_323e3de834.jpg,a man standing on a frozen lake with a dog,Two men are ice fishing .,0
